Time,Type,Command,Duration
10/Feb/2026 01:30:58,Query,DELETE FROM sessions WHERE userid = 8263,22
28/Jan/2026 00:06:02,Connect,dbuser on BCG using TCP/IP,
31/Jan/2026 10:12:21,Connect,dbuser on BCG using TCP/IP,
14/Feb/2026 02:39:35,Query,SELECT * FROM users WHERE userid = 7655,37
05/Feb/2026 04:51:36,Query,DELETE FROM sessions WHERE userid = 5015,12
16/Feb/2026 12:13:39,Connect,dbuser on BCG using TCP/IP,
19/Feb/2026 07:13:32,Query,SELECT email FROM users WHERE userid = 4850,48
16/Feb/2026 22:53:12,Query,SELECT * FROM users WHERE userid = 4795,39
08/Feb/2026 14:14:59,Query,UPDATE users SET email = elizabeth@hotmail.com WHERE userid = 9353,92
12/Feb/2026 03:40:30,Query,DELETE FROM sessions WHERE userid = 8944,21
20/Feb/2026 12:48:31,Query,SELECT * FROM creditcard WHERE userid = 1803,11
30/Jan/2026 05:06:15,Connect,dbuser on BCG using TCP/IP,
04/Feb/2026 13:45:47,Query,SELECT ccexpire FROM creditcard WHERE userid = 1858,17
18/Feb/2026 22:54:33,Query,UPDATE users SET email = elizabeth@example.org WHERE userid = 6211,63
27/Jan/2026 04:44:04,Query,SELECT * FROM users WHERE userid = 3707,44
11/Feb/2026 16:26:27,Connect,dbuser on BCG using TCP/IP,
07/Feb/2026 04:47:58,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (elizabeth56, 1e3f0e4291be8533bce600d32c41da4fecfd0204, William, Johnson, john43@example.org)",59
26/Jan/2026 18:36:53,Query,SELECT email FROM users WHERE userid = 4816,38
10/Feb/2026 16:38:35,Query,"INSERT INTO orders (userid, productid, quantity) VALUES (7709, DB-SG-G01, 4)",71
19/Feb/2026 14:59:34,Query,UPDATE users SET email = elizabeth@company.com WHERE userid = 7899,68
16/Feb/2026 01:30:21,Query,SELECT * FROM creditcard WHERE userid = 7782,48
28/Jan/2026 12:11:18,Query,SELECT username FROM users WHERE userid = 8646,46
19/Feb/2026 14:31:56,Query,UPDATE users SET email = robert@company.com WHERE userid = 6748,50
25/Jan/2026 14:40:15,Query,SELECT * FROM creditcard WHERE userid = 7360,22
12/Feb/2026 07:39:00,Connect,admin on BCG using TCP/IP,
06/Feb/2026 05:17:57,Query,"INSERT INTO users (username, password, fname, lname, email) VALUES (patricia48, 1e3f0e4291be8533bce600d32c41da4fecfd0204, William, Brown, elizabeth88@hotmail.com)",47
23/Feb/2026 17:30:14,Query,SELECT email FROM users WHERE userid = 4877,36
01/Feb/2026 15:11:41,Connect,admin on BCG using TCP/IP,
18/Feb/2026 22:22:30,Query,SELECT * FROM creditcard WHERE userid = 7662,40
08/Feb/2026 18:06:27,Query,SELECT ccexpire FROM creditcard WHERE userid = 9721,39
06/Feb/2026 17:04:28,Query,UPDATE users SET email = james@company.com WHERE userid = 3415,84
23/Feb/2026 10:40:25,Query,UPDATE users SET email = michael@hotmail.com WHERE userid = 8158,15
10/Feb/2026 16:55:12,Query,SELECT * FROM creditcard WHERE userid = 9845,14
12/Feb/2026 03:30:02,Query,SELECT * FROM creditcard WHERE userid = 1757,45
03/Feb/2026 08:13:32,Query,SELECT ccexpire FROM creditcard WHERE userid = 2034,12
04/Feb/2026 10:27:26,Query,UPDATE products SET stock = stock - 1 WHERE productid = 4829,72
23/Feb/2026 10:02:07,Query,UPDATE products SET stock = stock - 1 WHERE productid = 4379,87
04/Feb/2026 08:57:49,Query,SELECT * FROM creditcard WHERE userid = 9399,5
02/Feb/2026 21:17:55,Query,DELETE FROM sessions WHERE userid = 8018,7
11/Feb/2026 08:15:23,Connect,webapp on BCG using TCP/IP,
23/Feb/2026 08:10:15,Query,DELETE FROM sessions WHERE userid = 2883,28
26/Jan/2026 11:12:04,Query,SELECT username FROM users WHERE userid = 6579,20
08/Feb/2026 17:40:09,Query,SELECT * FROM creditcard WHERE userid = 7853,31
18/Feb/2026 17:23:46,Query,SELECT * FROM users WHERE userid = 5917,40
07/Feb/2026 05:17:23,Query,SELECT * FROM users WHERE userid = 5673,15
22/Feb/2026 15:16:13,Query,UPDATE products SET stock = stock - 1 WHERE productid = 6652,79
14/Feb/2026 13:20:07,Connect,webapp on BCG using TCP/IP,
06/Feb/2026 02:58:30,Query,SELECT * FROM creditcard WHERE userid = 8456,24
29/Jan/2026 18:33:51,Query,SELECT email FROM users WHERE userid = 6458,10
